A,AGILENT TECHNOLOGIES INC,"Agilent Technologies, Inc. provides core bio-analytical and electronic measurement solutions to the communications, electronics, life sciences, and chemical analysis industries. The Company offers electronic and bio-analytical measurement, semiconductor, and board testing."
AA,ALCOA CORP,"Alcoa Corporation manufactures metal products. The Company produces and sells bauxite, alumina, and aluminum products. Alcoa serves aluminum industry worldwide."
AAL,AMERICAN AIRLINES GROUP INC,"American Airlines Group Inc. operates an airline that provides scheduled passenger, freight, and mail service throughout North America, the Caribbean, Latin America, Europe, and the Pacific. The Company also provides connecting service throughout the United States, Canada, and the Caribbean."
AAN,AARON'S INC,"Aaron's, Inc. rents and sells office and residential furniture and accessories, consumer electronics, and household appliances. The Company also manufactures furniture, bedding, and accessories. Aaron's has Company-owned and franchised centers in the United States."
AAOI,APPLIED OPTOELECTRONICS INC,"Applied Optoelectronics, Inc. manufactures and supplies fiber-optic networking products. The Company offers diode lasers, photodiodes, subassemblies, and related modules and equipment. Applied Optoelectronics serves customers in the United States, Taiwan, and China."
AAON,AAON INC,"AAON, Inc. designs, manufactures, and markets commercial rooftop air-conditioning, heating and heat recovery equipment, and air-conditioning coils. The Company's products serve the commercial and industrial new construction and replacement markets."
AAP,ADVANCE AUTO PARTS INC,"Advance Auto Parts, Inc. is an automotive aftermarket parts provider that serves commercial and do-it-yourself customers, as well as independently owned operators. The Company operates stores in the United States, Canada, Puerto Rico, and the Virgin Islands."
AAPL,APPLE INC,"Apple Inc. designs, manufactures, and markets personal computers and related personal computing and mobile communication devices along with a variety of related software, services, peripherals, and networking solutions. Apple sells its products worldwide through its online stores, its retail stores, its direct sales force, third-party wholesalers, and resellers."
AAT,AMERICAN ASSETS TRUST INC,"American Assets Trust, Inc. is a full service, vertically integrated and self-administered real estate investment trust. The Company owns, operates, acquires and develops retail and office properties. American Assets Trust serves customers in the States of California and Hawaii."
AAWW,ATLAS AIR WORLDWIDE HOLDINGS,"Atlas Air Worldwide Holdings, Inc. operates as a holding company. The Company, through its subsidiaries, provides aircraft, crew, commercial and military charter, maintenance, and insurance freighter aircraft to major airlines around the world."
AAXN,AXON ENTERPRISE INC,"Axon Enterprise, Inc. develops and manufactures security systems. The Company offers law enforcement, military, and self defense solutions. Axon Enterprise serves customers worldwide."
ABBV,ABBVIE INC,"AbbVie Inc. researches and develops pharmaceutical products. The Company produces pharmaceutical drugs for specialty therapeutic areas such as immunology, chronic kidney disease, hepatitis C, women's health, oncology, and neuroscience. AbbVie also offers treatments for diseases including multiple sclerosis, parkinson's, and alzheimer's disease."
