company,mkt_cap,pb_ratio,beta,profit_m,roa,roe
MMM,78.52B,7.80,1.00,15.37%,10.40%,49.92%
ABT,139.58B,4.49,0.97,11.15%,4.59%,11.56%
ABBV,112.51B,N/A,0.78,24.77%,11.80%,N/A
ABMD,6.53B,6.24,0.86,24.14%,13.72%,20.28%
ACN,114.85B,7.59,1.03,11.13%,13.44%,34.01%
ATVI,45.82B,3.58,0.59,24.19%,5.83%,12.68%
ADBE,166.69B,15.83,0.90,27.72%,10.77%,31.79%
AMD,53.26B,18.84,2.17,6.72%,8.92%,20.19%
AAP,6.45B,1.82,1.27,5.01%,4.66%,13.72%
AES,9.04B,3.02,0.99,2.97%,3.82%,9.02%
AFL,24.60B,0.85,0.91,13.49%,1.74%,11.22%
A,25.59B,5.39,1.10,14.59%,6.84%,15.46%
APD,44.08B,3.81,0.89,21.66%,7.32%,17.33%
AKAM,14.84B,4.06,0.34,16.74%,6.09%,14.21%
ALK,3.49B,0.81,1.49,6.24%,4.21%,13.73%
ALB,5.99B,1.52,1.41,14.50%,5.16%,14.58%
ARE,17.04B,1.92,0.87,15.62%,1.57%,3.09%
ALXN,19.85B,1.76,1.41,44.83%,9.26%,22.13%
ALGN,13.70B,10.18,1.97,78.42%,9.41%,91.95%
ALLE,8.49B,11.16,1.21,11.20%,13.19%,51.52%
AGN,58.39B,1.00,1.20,-15.44%,0.74%,-4.15%
ADS,1.60B,1.01,2.58,2.82%,1.97%,25.51%
LNT,12.05B,2.31,0.38,16.84%,2.90%,11.38%
ALL,28.89B,1.22,0.92,9.38%,3.01%,17.25%
GOOGL,795.03B,3.95,1.06,20.71%,8.71%,17.83%
GOOG,795.03B,3.95,1.06,20.71%,8.71%,17.83%
MO,71.86B,11.55,0.48,-4.21%,12.61%,-8.36%
AMZN,972.91B,15.68,1.35,3.56%,4.37%,18.58%
AMCR,12.78B,2.39,0.49,4.31%,N/A,N/A
AEE,17.98B,2.23,0.29,14.15%,2.89%,9.82%
AAL,5.15B,N/A,1.76,-1.69%,2.21%,N/A
AEP,39.61B,2.02,0.39,12.09%,2.38%,9.37%
AXP,68.92B,2.99,1.11,14.63%,2.91%,25.80%
AIG,20.89B,0.32,1.39,8.58%,1.07%,7.81%
AMT,96.54B,19.10,0.43,24.55%,4.69%,34.75%
AWK,21.64B,3.54,0.22,17.36%,3.42%,10.38%
AMP,12.54B,2.19,1.77,27.69%,2.06%,56.38%
ABC,18.00B,6.09,0.61,0.85%,2.86%,47.22%
AME,16.51B,3.23,1.22,18.48%,7.29%,19.17%
AMGN,119.21B,12.32,0.98,32.03%,9.55%,75.55%
APH,21.57B,4.76,1.25,13.90%,8.77%,26.40%
ADI,40.36B,3.45,1.37,21.06%,4.67%,10.41%
ANSS,19.90B,5.76,1.21,27.34%,7.25%,13.76%
ANTM,57.22B,1.80,0.97,4.38%,5.48%,15.49%
AON,38.14B,11.30,0.84,14.84%,5.75%,41.62%
AOS,6.14B,3.69,1.24,11.54%,8.51%,19.75%
APA,1.58B,0.48,4.75,-135.68%,-5.32%,-185.44%
AIV,5.23B,2.94,0.87,22.72%,1.42%,11.41%
AAPL,1.10T,12.28,1.17,21.35%,12.38%,62.09%
AMAT,45.62B,5.27,1.38,18.89%,11.23%,33.86%
APTV,12.55B,3.29,2.25,16.58%,5.56%,53.05%
ADM,19.52B,1.02,0.96,2.39%,2.21%,8.08%
ANET,15.32B,5.29,1.12,34.10%,12.98%,30.38%
AJG,15.46B,3.00,0.69,9.98%,2.49%,14.35%
AIZ,6.21B,1.10,0.58,3.70%,0.92%,6.89%
T,207.70B,1.13,0.67,8.05%,3.29%,7.99%
ATO,12.14B,1.98,0.34,20.02%,3.63%,9.43%
ADSK,43.19B,N/A,1.59,6.55%,4.30%,N/A
ADP,58.75B,10.95,0.85,17.15%,4.40%,47.13%
AZO,24.25B,N/A,0.87,13.42%,12.36%,N/A
AVB,20.71B,1.88,0.86,33.13%,2.72%,7.24%
AVY,8.49B,7.05,1.21,8.29%,13.76%,54.01%
BKR,10.83B,0.49,1.65,-42.77%,2.20%,-59.91%
BLL,21.07B,7.15,0.49,4.11%,4.52%,13.92%
BAC,184.18B,0.76,1.61,29.57%,0.97%,9.07%
BK,29.82B,0.79,1.10,27.06%,1.10%,10.80%
BAX,41.28B,5.24,0.78,8.60%,7.19%,13.01%
BDX,62.45B,2.95,0.96,6.17%,3.51%,5.09%
BBY,21.92B,7.01,1.50,3.53%,9.01%,45.42%
BIIB,55.07B,3.97,0.51,40.76%,17.92%,44.56%
BLK,68.23B,2.03,1.29,28.38%,2.02%,12.24%
BA,84.16B,N/A,1.45,-4.84%,-2.27%,N/A
BKNG,55.06B,9.28,1.03,23.43%,15.44%,63.30%
BWA,5.04B,1.07,1.71,7.24%,7.32%,16.50%
BXP,14.32B,2.61,1.11,31.18%,3.11%,13.24%
