0111145D,NA,221210
0202445Q,NA,334516
0203524D,NA,334413
0226226D,NA,236117
0544749D,NA,211130
0574018D,NA,531110
0772031D,NA,517110
0848680D,NA,517210
0867887D,NA,316998
0910150D,25301020,721110
0948669D,NA,323111
0961514D,NA,221122
0964591D,NA,339113
1028411Q,NA,NA
1040983D,NA,334413
1051665D,NA,326112
1086832D,NA,324110
1255173D,NA,522110
1255459D,NA,325414
1280712D,NA,333242
1281683D,NA,325620
1284849D,35202010,325412
1288453D,30201030,312111
1288652D,NA,524113
1293405D,NA,515120
1312089D,NA,445110
1317355D,45102020,522320
1431816D,NA,334413
1436513D,NA,336360
1448062D,50201030,517110
1500785D,55103010,551112
1518855D,50203010,517000
1519128D,45103010,511210
1520415D,NA,522110
1524867D,NA,213112
1528159D,NA,561599
1539941D,10102040,486210
1541931D,45301020,334413
1566019D,20201080,561621
1649858D,NA,524126
1654539D,NA,517110
1683351D,NA,325414
1683997D,NA,334111
1684442D,20106020,333999
1697067D,15101020,325211
1704453D,NA,212234
1715651D,15101020,325199
1719868D,NA,623220
1746513D,NA,334210
1752754D,NA,312130
1799685D,NA,211111
1806854D,20202020,561450
1810430D,NA,333132
1812212D,50203010,519130
228510Q,NA,322220
2307532Q,NA,335999
2641504Q,NA,334419
2676187Q,NA,522110
2727195Q,40202010,522291
2942331Q,NA,523110
2968900Q,NA,512110
297504Q,NA,NA
2987536Q,NA,334118
2999130Q,NA,325998
3022239Q,NA,722513
3026360Q,NA,334210
3029830Q,NA,541511
3080867Q,NA,335224
3133754Q,NA,522110
3153670Q,NA,334112
3286728Q,NA,334516
3362726Q,NA,531390
3393199Q,NA,312120
3403545Q,NA,452910
3414924Q,NA,541430
3423152Q,NA,541512
3517233Q,NA,111910
355488Q,NA,522110
3605818Q,NA,622110
3621240Q,NA,522110
3692470Q,NA,517312
4621824Q,NA,486210
502466Q,NA,524114
519239Q,NA,522320
544791Q,NA,322121
5656565D,NA,333415
605018Q,NA,522110
605555Q,NA,452210
653707Q,NA,517311
680884Q,NA,334111
723588Q,NA,325998
748957Q,NA,325412
764144Q,NA,541512
