Ticker,Description
A,"Agilent Technologies, Inc. is a global analytical instrumentation manufacturing company with headquarters in Santa Clara, CA. Agilent was established in 1999 as a spin-off from Hewlett-Packard. The resulting IPO of Agilent stock was the largest in the history of Silicon Valley at the time.The company provides analytical instruments, software, services and consumables for the entire laboratory workflow.  Agilent focuses its products and services on six markets: food, environmental and forensics, pharmaceutical, diagnostics, chemical and energy, and research. From 1999 to 2014, the company also produced test and measurement equipment for electronics; that division was spun off to form Keysight."
AA,"Alcoa Corporation (a portmanteau of Aluminum Company of America) is an American industrial corporation. It is the world's eighth largest producer of aluminum, with corporate headquarters in Pittsburgh, Pennsylvania. Alcoa conducts operations in 10 countries. Alcoa is a major producer of primary aluminum, fabricated aluminum, and alumina combined, through its active and growing participation in all major aspects of the industry: technology, mining, refining, smelting, fabricating, and recycling.In May 2007 Alcoa Inc. made a US$27 billion hostile takeover bid for Alcan in an attempt to form the world's largest aluminum producer. The bid was withdrawn when Alcan announced a friendly takeover by Rio Tinto in July 2007.On November 1, 2016, Alcoa Inc. split into two new entities: Alcoa Corporation, which is engaged in the mining and manufacture of raw aluminium, and Arconic, which processes aluminum and other metals.Alcoa moved its headquarters back to Pittsburgh effective September 1, 2017. In October 2018, Alcoa announced plans to move from Pittsburgh's North Shore to a more downtown Pittsburgh location."
AAL,"American Airlines Group Inc. is an American publicly traded airline holding company headquartered in Fort Worth, Texas. It was formed on December 9, 2013, by the merger of AMR Corporation, the parent company of American Airlines, and US Airways Group, the parent company of US Airways. Integration was completed when the Federal Aviation Administration granted a single operating certificate for both carriers on April 8, 2015, and all flights now operate under the American Airlines brand.  The group operates the largest airline in the world, as measured by number of passengers carried, by fleet size and by scheduled passenger-kilometers flown.  The company ranked No. 70 in the Fortune 500 list of the largest United States corporations based on its 2019 revenue, but, impacted by coronavirus, it lost $2.2 billion in the first quarter of 2020 alone and accepted government aid, and is reported to be shrinking its passenger fleet."
AAN,
AAOI,
AAON,"AAON Inc. (NASDAQ: AAON) designs, manufactures and sells semi-custom heating, ventilation and air conditioning equipment (HVAC) for commercial and residential use. Primarily, it ""makes and sells air conditioning and heating equipment for the new construction and replacement markets.""AAON Inc. was founded by Norm Asbjornson in 1987, when he purchased the air conditioning and heating division of John Zink. Asbjornson became both founding president and CEO. As of June 2016, AAON employed 1,300 people at its headquarters in Tulsa, Oklahoma. It also employed approximately 300 people in Longview, Texas, with around $358 million in annual sales.The company broke ground on a new R&D lab in Tulsa on February 25, 2016. At the time, AAON was also expanding its manufacturing facility nearby. The research lab will reportedly cost US$33 million, and will be ready in 2019.Its subsidiary, AAON Coil Products manufactures a variety of heating/cooling products, as well as, coils used in the heating, ventilation, and air conditioning (HVAC) industry and provides coils to AAON as well as to other customers."
AAP,"Advance Auto Parts, Inc. (Advance) is an American automotive aftermarket parts provider. Headquartered in Raleigh, North Carolina, it serves both professional installer and do-it-yourself (DIY) customers. As of July 13, 2019, Advance operated 4,912 stores and 150 Worldpac branches in the United States and Canada. The Company also serves 1,250 independently owned Carquest branded stores across these locations in addition to Mexico, the Bahamas, Turks and Caicos and British Virgin Islands. The company's stores and branches offer a broad selection of brand name, original equipment manufacturer (OEM) and private label automotive replacement parts, accessories, batteries and maintenance items for domestic and imported cars, vans, sport utility vehicles and light and heavy duty trucks."
AAPL,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops and sells consumer electronics, computer software, and online services. It is considered one of the Big Tech technology companies, alongside Amazon, Google, Microsoft, and Facebook.The company's hardware products include the iPhone smartphone, the iPad tablet computer, the Mac personal computer, the iPod portable media player, the Apple Watch smartwatch, the Apple TV digital media player, the AirPods wireless earbuds and the HomePod smart speaker. Apple's software includes macOS, iOS, iPadOS, watchOS, and tvOS operating systems, the iTunes media player, the Safari web browser, the Shazam music identifier and the iLife and iWork creativity and productivity suites, as well as professional applications like Final Cut Pro, Logic Pro, and Xcode. Its online services include the iTunes Store, the iOS App Store, Mac App Store, Apple Music, Apple TV+, iMessage, and iCloud. Other services include Apple Store, Genius Bar, AppleCare, Apple Pay, Apple Pay Cash, and Apple Card. Apple was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne in April 1976 to develop and sell Wozniak's Apple I personal computer, though Wayne sold his share back within 12 days. It was incorporated as Apple Computer, Inc., in January 1977, and sales of its computers, including the Apple II, grew quickly. Within a few years, Jobs and Wozniak had hired a staff of computer designers and had a production line. Apple went public in 1980 to instant financial success. Over the next few years, Apple shipped new computers featuring innovative graphical user interfaces, such as the original Macintosh in 1984, and Apple's marketing advertisements for its products received widespread critical acclaim. However, the high price of its products and limited application library caused problems, as did power struggles between executives. In 1985, Wozniak departed Apple amicably and remained an honorary employee, while Jobs and others resigned to found NeXT.As the market for personal computers expanded and evolved through the 1990s, Apple lost market share to the lower-priced duopoly of Microsoft Windows on Intel PC clones. The board recruited CEO Gil Amelio to what would be a 500-day charge for him to rehabilitate the financially troubled company—reshaping it with layoffs, executive restructuring, and product focus. In 1997, he led Apple to buy NeXT, solving the desperately failed operating system strategy and bringing Jobs back. Jobs regained leadership status, becoming CEO in 2000. Apple swiftly returned to profitability under the revitalizing Think different campaign, as he rebuilt Apple's status by launching the iMac in 1998, opening the retail chain of Apple Stores in 2001, and acquiring numerous companies to broaden the software portfolio. In January 2007, Jobs renamed the company Apple Inc., reflecting its shifted focus toward consumer electronics, and launched the iPhone to great critical acclaim and financial success. In August 2011, Jobs resigned as CEO due to health complications, and Tim Cook became the new CEO. Two months later, Jobs died, marking the end of an era for the company. In June 2019, Jony Ive, Apple's CDO, left the company to start his own firm, but stated he would work with Apple as its primary client. Apple's worldwide annual revenue totaled $265 billion for the 2018 fiscal year. Apple is the world's largest technology company by revenue and one of the world's most valuable companies. It is also the world's third-largest mobile phone manufacturer after Samsung and Huawei. In August 2018, Apple became the first publicly traded U.S. company to be valued at over $1 trillion and just two years later in August 2020 became the first $2 trillion U.S. company. The company employs 137,000 full-time employees and maintains 510 retail stores in 25 countries as of 2020. It operates the iTunes Store, which is the world's largest music retailer. As of January 2020, more than 1.5 billion Apple products are actively in use worldwide. The company also has a high level of brand loyalty and is ranked as the world's most valuable brand. However, Apple receives significant criticism regarding the labor practices of its contractors, its environmental practices and unethical business practices, including anti-competitive behavior, as well as the origins of source materials."
AAT,"Alphabet Inc. is an American multinational conglomerate headquartered in Mountain View, California. It was created through a restructuring of Google on October 2, 2015, and became the parent company of Google and several former Google subsidiaries. The two co-founders of Google continued to remain as controlling shareholders, board members, and employees at Alphabet. Alphabet is the world's fourth-largest technology company by revenue and one of the world's most valuable companies.The establishment of Alphabet Inc. was prompted by a desire to make the core Google business ""cleaner and more accountable"" while allowing greater autonomy to group companies that operate in businesses other than Internet services. Page and Brin announced their resignation from their executive posts in December 2019, with the CEO role to be filled by Sundar Pichai, also the CEO of Google. Page and Brin remain co-founders, employees, board members, and controlling shareholders of Alphabet Inc."
AAWW,"Atlas Air, Inc., a wholly owned subsidiary of Atlas Air Worldwide Holdings, is a cargo airline, passenger charter airline, and aircraft lessor based in Purchase in Harrison, New York. The airline was named after Atlas, a Titan in Greek mythology. The symbol on the tail of their aircraft is a golden man carrying a golden world.  With a total combined fleet of 55 Boeing 747 aircraft, Atlas is the world's largest operator of this fleet type. In 2019, the airline had 3,587 employees and operates across 425 destinations in 119 countries."
