Ticker,mkt_cap,pb_ratio,beta,profit_margin,ROA,ROE
MMM,78520.0,7.8,1.0,0.1537,0.10400000000000001,0.49920000000000003
ABT,139580.0,4.49,0.97,0.1115,0.045899999999999996,0.11560000000000001
ABBV,112510.0,,0.78,0.2477,0.11800000000000001,
ABMD,6530.0,6.24,0.86,0.2414,0.13720000000000002,0.2028
ACN,114850.0,7.59,1.03,0.11130000000000001,0.1344,0.34009999999999996
ATVI,45820.0,3.58,0.59,0.2419,0.0583,0.1268
ADBE,166690.0,15.83,0.9,0.2772,0.10769999999999999,0.3179
AMD,53260.0,18.84,2.17,0.0672,0.0892,0.20190000000000002
AAP,6450.0,1.82,1.27,0.0501,0.0466,0.13720000000000002
AES,9040.0,3.02,0.99,0.0297,0.0382,0.0902
AFL,24600.0,0.85,0.91,0.1349,0.0174,0.11220000000000001
A,25590.0,5.39,1.1,0.1459,0.0684,0.15460000000000002
APD,44080.0,3.81,0.89,0.21660000000000001,0.0732,0.17329999999999998
AKAM,14840.0,4.06,0.34,0.1674,0.060899999999999996,0.1421
ALK,3490.0,0.81,1.49,0.062400000000000004,0.0421,0.1373
ALB,5990.0,1.52,1.41,0.145,0.0516,0.1458
ARE,17040.0,1.92,0.87,0.1562,0.015700000000000002,0.030899999999999997
ALXN,19850.0,1.76,1.41,0.4483,0.0926,0.2213
ALGN,13700.0,10.18,1.97,0.7842,0.0941,0.9195
ALLE,8490.0,11.16,1.21,0.11199999999999999,0.1319,0.5152
AGN,58390.0,1.0,1.2,-0.15439999999999998,0.0074,-0.0415
ADS,1600.0,1.01,2.58,0.0282,0.0197,0.2551
LNT,12050.0,2.31,0.38,0.1684,0.028999999999999998,0.11380000000000001
ALL,28890.0,1.22,0.92,0.09380000000000001,0.0301,0.1725
GOOGL,795030.0,3.95,1.06,0.2071,0.08710000000000001,0.1783
GOOG,795030.0,3.95,1.06,0.2071,0.08710000000000001,0.1783
MO,71860.0,11.55,0.48,-0.0421,0.1261,-0.0836
AMZN,972910.0,15.68,1.35,0.0356,0.0437,0.1858
AMCR,12780.0,2.39,0.49,0.0431,,
AEE,17980.0,2.23,0.29,0.14150000000000001,0.028900000000000002,0.09820000000000001
AAL,5150.0,,1.76,-0.0169,0.022099999999999998,
AEP,39610.0,2.02,0.39,0.1209,0.023799999999999998,0.09369999999999999
AXP,68920.0,2.99,1.11,0.1463,0.0291,0.258
AIG,20890.0,0.32,1.39,0.0858,0.010700000000000001,0.0781
AMT,96540.0,19.1,0.43,0.2455,0.046900000000000004,0.3475
AWK,21640.0,3.54,0.22,0.1736,0.0342,0.1038
AMP,12540.0,2.19,1.77,0.27690000000000003,0.0206,0.5638000000000001
ABC,18000.0,6.09,0.61,0.0085,0.0286,0.4722
AME,16510.0,3.23,1.22,0.1848,0.0729,0.1917
AMGN,119210.0,12.32,0.98,0.32030000000000003,0.0955,0.7555
APH,21570.0,4.76,1.25,0.139,0.0877,0.264
ADI,40360.0,3.45,1.37,0.21059999999999998,0.0467,0.1041
ANSS,19900.0,5.76,1.21,0.2734,0.0725,0.1376
ANTM,57220.0,1.8,0.97,0.0438,0.0548,0.1549
AON,38140.0,11.3,0.84,0.1484,0.0575,0.41619999999999996
AOS,6140.0,3.69,1.24,0.11539999999999999,0.0851,0.1975
APA,1580.0,0.48,4.75,-1.3568,-0.053200000000000004,-1.8544
AIV,5230.0,2.94,0.87,0.22719999999999999,0.014199999999999999,0.11410000000000001
AAPL,1100000.0,12.28,1.17,0.21350000000000002,0.12380000000000001,0.6209
AMAT,45620.0,5.27,1.38,0.1889,0.11230000000000001,0.3386
APTV,12550.0,3.29,2.25,0.16579999999999998,0.0556,0.5305
ADM,19520.0,1.02,0.96,0.0239,0.022099999999999998,0.0808
ANET,15320.0,5.29,1.12,0.341,0.1298,0.3038
AJG,15460.0,3.0,0.69,0.0998,0.024900000000000002,0.1435
AIZ,6210.0,1.1,0.58,0.037000000000000005,0.0092,0.0689
T,207700.0,1.13,0.67,0.0805,0.0329,0.0799
ATO,12140.0,1.98,0.34,0.2002,0.0363,0.0943
ADSK,43190.0,,1.59,0.0655,0.043,
ADP,58750.0,10.95,0.85,0.17149999999999999,0.044000000000000004,0.47130000000000005
AZO,24250.0,,0.87,0.13419999999999999,0.12359999999999999,
AVB,20710.0,1.88,0.86,0.33130000000000004,0.027200000000000002,0.0724
AVY,8490.0,7.05,1.21,0.08289999999999999,0.1376,0.5401
BKR,10830.0,0.49,1.65,-0.4277,0.022000000000000002,-0.5991
BLL,21070.0,7.15,0.49,0.041100000000000005,0.0452,0.1392
BAC,184180.0,0.76,1.61,0.2957,0.0097,0.0907
BK,29820.0,0.79,1.1,0.2706,0.011000000000000001,0.10800000000000001
BAX,41280.0,5.24,0.78,0.086,0.0719,0.1301
BDX,62450.0,2.95,0.96,0.0617,0.0351,0.0509
BBY,21920.0,7.01,1.5,0.0353,0.0901,0.4542
BIIB,55070.0,3.97,0.51,0.40759999999999996,0.17920000000000003,0.4456
BLK,68230.0,2.03,1.29,0.2838,0.0202,0.12240000000000001
BA,84160.0,,1.45,-0.0484,-0.0227,
BKNG,55060.0,9.28,1.03,0.2343,0.15439999999999998,0.633
BWA,5040.0,1.07,1.71,0.0724,0.0732,0.165
BXP,14320.0,2.61,1.11,0.3118,0.0311,0.1324
BSX,45660.0,3.29,0.95,0.3975,0.0374,0.3722
BMY,126120.0,2.44,0.72,0.0308,0.0582,0.03
AVGO,121390.0,4.87,0.94,0.1164,0.0329,0.1107
BR,10860.0,9.65,0.9,0.095,0.0832,0.3372
CHRW,8910.0,5.33,0.54,0.0321,0.08839999999999999,0.3045
COG,6850.0,3.18,0.27,0.2742,0.08529999999999999,0.2104
CDNS,18440.0,8.77,1.08,0.4174,0.1016,0.5633
CPB,14610.0,11.79,0.41,0.1795,0.056600000000000004,0.2425
COF,22960.0,0.4,1.74,0.1487,0.0072,0.050499999999999996
CPRI,5680.0,2.36,1.9,0.060899999999999996,0.06269999999999999,0.1419
CAH,14000.0,14.01,0.98,-0.0271,0.0278,-1.1172
KMX,14270.0,3.85,1.67,0.0415,0.038900000000000004,0.2493
CCL,23760.0,0.9,1.96,0.0894,0.0431,0.07719999999999999
CARR,14940.0,1.06,,0.09970000000000001,,
CAT,62890.0,4.31,1.08,0.1041,0.060899999999999996,0.3569
CBOE,9790.0,2.92,0.51,0.1552,0.0827,0.1311
CBRE,12640.0,2.03,1.74,0.052300000000000006,0.0596,0.22760000000000002
CDW,13270.0,13.82,1.23,0.0407,0.0904,0.8275
CNC,34410.0,2.74,0.74,0.0108,0.029900000000000003,0.0473
CNP,7770.0,1.17,0.97,-0.0471,0.0297,-0.0533
CTL,10380.0,0.77,1.04,0.0545,0.0384,0.0902
CERN,19170.0,4.44,0.86,0.08929999999999999,0.0644,0.11349999999999999
CF,5820.0,2.01,1.08,0.1033,0.045700000000000005,0.1118
SCHW,43280.0,2.28,1.27,0.33299999999999996,0.0108,0.1476
CHTR,90080.0,2.86,1.03,0.0391,0.029500000000000002,0.0533
CVX,135280.0,0.94,1.33,0.0286,0.024900000000000002,0.025099999999999997
CMG,18200.0,10.82,1.18,0.059500000000000004,0.057,0.2145
CB,50410.0,0.91,0.69,0.1079,0.0161,0.0701
CHD,15770.0,5.91,0.31,0.1496,0.0819,0.252
CI,65410.0,1.44,0.68,0.0319,0.0356,0.1127
CINF,12130.0,1.23,0.56,0.0134,0.0022,0.0091
CTAS,27670.0,8.94,1.41,0.1319,0.1036,0.29460000000000003
CSCO,178840.0,5.03,0.95,0.2132,0.0959,0.2974
C,87690.0,0.5,1.83,0.2702,0.0083,0.0885
CFG,8020.0,0.39,1.8,0.2452,0.008199999999999999,0.0637
CTXS,17410.0,20.79,0.28,0.23879999999999998,0.0855,4.481
CLX,21820.0,39.31,0.22,0.1367,0.1328,1.1789
CME,61850.0,2.37,0.33,0.45880000000000004,0.0178,0.0904
CMS,16810.0,3.35,0.2,0.10679999999999999,0.0322,0.1407
KO,190010.0,10.01,0.56,0.2695,0.0731,0.5085000000000001
CTSH,25140.0,2.28,1.2,0.10460000000000001,0.1076,0.16260000000000002
CL,56840.0,485.81,0.59,0.1586,0.16390000000000002,40.8397
CMCSA,156910.0,1.9,0.96,0.1072,0.0501,0.1478
CMA,4080.0,0.56,1.84,0.28800000000000003,0.0108,0.1072
CAG,13000.0,1.71,0.74,0.0737,0.047,0.1
CXO,8430.0,0.47,1.89,-2.2422,-0.2737,-0.7025
COP,33030.0,0.94,1.71,0.11900000000000001,0.053899999999999997,0.115
ED,26050.0,1.45,0.24,0.1052,0.0281,0.0771
STZ,32930.0,2.84,0.92,-0.0014000000000000002,0.06,0.0017000000000000001
COO,17060.0,4.7,0.9,0.1699,0.053099999999999994,0.12689999999999999
CPRT,23700.0,12.3,,0.3095,0.1808,0.3528
GLW,15590.0,1.47,1.1,0.0329,0.0207,0.0281
CTVA,17590.0,0.72,,-0.0591,,0.0039000000000000003
