Ticker,Description
MMM,"The 3M Company is an American multinational conglomerate corporation operating in the fields of industry, worker safety, US health care, and consumer goods. The company produces over 60,000 products under several brands, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection films, dental and orthodontic products, electrical and electronic connecting and insulating materials, medical products, car-care products, electronic circuits, healthcare software and optical films. It is based in Maplewood, a suburb of Saint Paul, Minnesota.3M made $32.8 billion in total sales in 2018, and ranked number 95 in the Fortune 500 list of the largest United States corporations by total revenue. As of 2018, the company had approximately 93,500 employees, and had operations in more than 70 countries.In 2016, a complaint was filed against 3M for knowingly selling defective earplugs issued to military personnel deployed to Iraq and Afghanistan. These earplugs may have caused permanent hearing damage. 3M paid a $9.1 million settlement to the U.S. government."
ABT,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013. Among its well-known products across the medical devices, diagnostics, and nutrition product divisions are Pedialyte, Similac, Ensure, Glucerna, ZonePerfect, FreeStyle Libre, i-STAT and MitraClip."
ABBV,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.
ABMD,"Abiomed is a publicly-traded medical devices company that develops and manufactures the circulatory support device Impella, the world’s smallest heart pump. The company is headquartered in Danvers, Massachusetts and has three additional offices, two in Germany in the cities of Berlin and Aachen, and another in Tokyo, Japan. Michael R. Minogue is Chairman, CEO & President of the company, with Dr. Thorsten Siess as Chief Technology Officer, Dr. Chuck Simonton as Chief Medical Officer and Dr. David M. Weber as Chief Operating Officer. According to Bloomberg, the company ""engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides continuum of care to heart failure patients"". As of 2019, the company had secured five FDA approvals and 715 patents with 622 pending. For fiscal year 2019, Abiomed reported $769.4 million in revenue and reported diluted earnings per share was $5.61 for the year."
ACN,"Accenture plc is a multinational professional services company. A Fortune Global 500 company, it reported revenues of $43.2 billion in 2019 and had 492,000 employees, serving clients in more than 120 countries. In 2015, the company had about 150,000 employees in India, 48,000 in the US, and 50,000 in the Philippines. Accenture's current clients include 91 of the Fortune Global 100 and more than three-quarters of the Fortune Global 500.On 11 July 2019, Accenture appointed Julie Sweet as their new chief executive officer. She accepted her office on 1 September 2019.It has been incorporated in Dublin, Ireland since 2009."
ATVI,"Activision Blizzard Studios, LLC is a motion picture production company and a subsidiary of American video game company Activision Blizzard based in Beverly Hills, California. It was created to utilize its parent company's popular game franchises through films and television shows. It is co-headed by Stacey Sher and Nick van Dyk, the latter being a former executive of The Walt Disney Company."
ADBE,"Adobe Inc. ( ə-DOH-bee) is an American multinational computer software company. Incorporated in Delaware  and headquartered in San Jose, California, it has historically focused upon the creation of multimedia and creativity software products, with a more recent foray towards digital marketing software. Adobe is best known for its Adobe Flash web software ecosystem, Photoshop image editing software, Adobe Illustrator vector graphics editor, Acrobat Reader, the Portable Document Format (PDF), and Adobe Creative Suite, as well as its successor Adobe Creative Cloud.Adobe was founded in December 1982 by John Warnock and Charles Geschke, who established the company after leaving Xerox PARC to develop and sell the PostScript page description language. In 1985, Apple Computer licensed PostScript for use in its LaserWriter printers, which helped spark the desktop publishing revolution.As of 2019, Adobe has more than 21,000 employees worldwide, about 40% of whom work in San Jose. Adobe also has major development operations in the United States in Newton, New York City, Minneapolis, Lehi, Seattle, and San Francisco. It also has major development operations in Noida and Bangalore in India."
AMD,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara, California, that develops computer processors and related technologies for business and consumer markets. While it initially manufactured its own processors, the company later outsourced its manufacturing, a practice known as going fabless, after GlobalFoundries was spun off in 2009. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations, personal computers and embedded system applications."
AAP,"Advance Auto Parts, Inc. (Advance) is an American automotive aftermarket parts provider. Headquartered in Raleigh, North Carolina, it serves both professional installer and do-it-yourself (DIY) customers. As of July 13, 2019, Advance operated 4,912 stores and 150 Worldpac branches in the United States and Canada. The Company also serves 1,250 independently owned Carquest branded stores across these locations in addition to Mexico, the Bahamas, Turks and Caicos and British Virgin Islands. The company's stores and branches offer a broad selection of brand name, original equipment manufacturer (OEM) and private label automotive replacement parts, accessories, batteries and maintenance items for domestic and imported cars, vans, sport utility vehicles and light and heavy duty trucks."
AES,"The AES Corporation is a Fortune 500 company that generates and distributes electrical power.  AES is headquartered in Arlington, Virginia, and is one of the world's leading power companies, generating and distributing electric power in 15 countries and employing 10,500 people worldwide."
