,Ticker,mkt_cap,pb_ratio,beta,profit_margin,ROA,ROE
0,MMM,89.85,8.8,0.97,0.1637,0.0993,0.48810000000000003
1,ABT,161.88,5.36,0.95,0.0989,0.0401,0.0986
2,ABBV,173.22,,0.72,0.192,0.0823,2.2562
3,ABMD,10.88,10.21,1.14,0.19879999999999998,0.1176,0.1508
4,ACN,128.62,8.29,1.02,0.11109999999999999,0.1293,0.3282
5,ATVI,58.57,4.5,0.68,0.2594,0.0712,0.1413
6,ADBE,185.57,17.73,0.94,0.3071,0.1144,0.3555
7,AMD,61.76,20.34,2.28,0.0796,0.0946,0.23399999999999999
8,AAP,9.84,2.78,1.35,0.0471,0.0377,0.1225
9,AES,9.63,3.79,1.03,0.020099999999999996,0.0388,0.0796
10,AFL,25.72,0.97,0.82,0.1349,0.0167,0.1016
11,A,29.77,6.24,1.07,0.1323,0.0696,0.1421
12,APD,53.34,4.69,0.93,0.2158,0.0638,0.16579999999999998
13,AKAM,17.42,4.74,0.3,0.1782,0.064,0.1485
14,ALK,4.48,1.12,1.54,0.0085,-0.0039000000000000003,0.0146
15,ALB,8.21,2.12,1.41,0.12990000000000002,0.0453,0.1235
16,ARE,20.21,2.17,0.78,0.2386,0.0159,0.0466
17,ALXN,24.59,2.09,1.4,0.1528,0.1027,0.0819
18,ALGN,21.62,7.58,1.91,0.7875,0.0527,0.8065000000000001
19,ALLE,9.43,15.42,1.13,0.1048,0.12,0.4266
20,LNT,11.94,2.17,0.34,0.1809,0.028999999999999998,0.1206
21,ALL,30.36,1.37,0.73,0.10279999999999999,0.0315,0.175
22,GOOGL,964.51,4.74,1.08,0.18989999999999999,0.07780000000000001,0.15789999999999998
23,GOOG,964.51,4.73,1.08,0.18989999999999999,0.07780000000000001,0.15789999999999998
24,MO,72.94,11.15,0.5,-0.045,0.1319,-0.0913
25,AMZN,1380.0,21.18,1.32,0.040999999999999995,0.04650000000000001,0.2079
26,AMCR,15.95,3.36,0.48,0.049100000000000005,0.0443,0.12050000000000001
27,AEE,17.39,2.15,0.28,0.1525,0.03,0.10460000000000001
28,AAL,6.64,,1.75,-0.10400000000000001,-0.0322,
29,AEP,39.5,2.0,0.31,0.12539999999999998,0.025,0.09539999999999998
30,AXP,76.64,3.65,1.14,0.1189,0.021099999999999997,0.1845
31,AIG,26.86,0.45,1.39,-0.09449999999999999,0.006500000000000001,-0.067
32,AMT,114.68,31.55,0.38,0.247,0.0466,0.3456
33,AWK,23.31,3.73,0.21,0.1729,0.034300000000000004,0.1032
34,AMP,18.05,2.7,1.77,0.205,0.015300000000000001,0.3995
35,ABC,20.55,5.72,0.55,0.0084,0.028999999999999998,0.4459
36,AME,20.5,3.85,1.29,0.1852,0.0691,0.175
37,AMGN,138.31,14.58,0.85,0.3004,0.09300000000000001,0.6805
38,APH,28.58,6.52,1.26,0.1356,0.0866,0.2459
39,ADI,42.37,3.66,1.29,0.2014,0.043,0.0944
40,ANSS,25.01,7.6,1.21,0.26170000000000004,0.0676,0.1272
41,ANTM,66.3,2.09,0.91,0.0524,0.06559999999999999,0.1813
42,AON,44.59,14.07,0.81,0.16079999999999997,0.057300000000000004,0.47659999999999997
43,AOS,7.65,4.73,1.2,0.1072,0.0768,0.17620000000000002
44,APA,5.1,,4.66,-1.5872,-0.2273,-1.8662999999999998
45,AIV,5.6,3.26,0.76,0.2007,0.0134,0.1042
46,AAPL,1560.0,19.93,1.28,0.2133,0.13119999999999998,0.6925
47,AMAT,58.75,6.51,1.31,0.19579999999999997,0.12539999999999998,0.3603
48,APTV,21.04,4.23,2.28,0.1363,0.030299999999999997,0.3122
49,ADM,22.18,1.17,0.97,0.0275,0.0245,0.09210000000000002
50,ANET,15.95,5.6,1.05,0.33159999999999995,0.11779999999999999,0.2707
51,AJG,18.67,3.71,0.7,0.1072,0.0271,0.145
52,AIZ,6.15,1.15,0.62,0.0406,0.0097,0.0698
53,T,215.4,1.21,0.64,0.0684,0.0335,0.068
54,ATO,12.28,1.95,0.27,0.21309999999999998,0.0365,0.09820000000000001
55,ADSK,51.85,,1.51,0.1026,0.0635,
56,ADP,64.01,11.66,0.76,0.1691,0.0507,0.44229999999999997
57,AZO,26.8,,0.91,0.129,0.1202,
58,AVB,21.76,1.99,0.8,0.3325,0.027000000000000003,0.0727
59,AVY,9.52,8.11,1.14,0.0768,0.0882,0.45770000000000005
60,BKR,15.88,1.38,1.65,-0.4603,0.0161,-0.6206
61,BLL,22.68,8.62,0.54,0.032799999999999996,0.0443,0.1054
62,BAC,205.77,0.85,1.55,0.26530000000000004,0.0079,0.0756
63,BK,34.24,0.91,1.0,0.2677,0.010700000000000001,0.10300000000000001
64,BAX,43.93,5.71,0.79,0.081,0.0658,0.11699999999999999
65,BDX,69.36,3.31,0.86,0.0537,0.028399999999999998,0.039900000000000005
66,BBY,25.72,7.54,1.65,0.0375,0.08310000000000001,0.46130000000000004
67,BIO,13.33,2.13,1.03,0.8489,0.0192,0.30329999999999996
