,Ticker,GICS
0,0910150D,253010
1,1284849D,352020
2,1288453D,302010
3,1317355D,451020
4,1448062D,502010
5,1500785D,551030
6,1518855D,502030
7,1519128D,451030
8,1539941D,101020
9,1541931D,453010
10,1566019D,202010
11,1684442D,201060
12,1697067D,151010
13,1715651D,151010
14,1806854D,202020
15,1812212D,502030
16,2727195Q,402020
17,9876544D,253010
18,9876549D,202020
19,9876566D,403010
20,9995522D,255040
21,A,352030
22,AA,151040
23,AAL,203020
24,AAMRQ,203020
25,AAP,255040
26,AAPL,452020
27,ABBV,352010
28,ABC,351020
29,ABMD,351010
30,ABT,351010
31,ACAS,402030
32,ACN,451020
33,ADBE,451030
34,ADI,453010
35,ADM,302020
36,ADP,451020
37,ADS,451020
38,ADSK,451030
39,AEE,551030
40,AEP,551010
41,AES,551050
42,AET,351020
43,AFL,403010
44,AGN,352020
45,AIG,403010
46,AIV,601010
47,AIZ,403010
48,AJG,403010
49,AKAM,451020
50,AKS,151040
51,ALB,151010
52,ALGN,351010
53,ALK,203020
54,ALL,403010
55,ALLE,201020
56,ALXN,352010
57,AMAT,453010
58,AMCC,453010
59,AMCR,151030
60,AMD,453010
61,AME,201040
62,AMG,402030
63,AMGN,352010
64,AMP,402030
65,AMT,601010
66,AMZN,255020
67,AN,255040
68,ANDV,101020
69,ANET,452010
70,ANF,255040
71,ANRZQ,101020
72,ANSS,451030
73,ANTM,351020
74,AON,403010
75,AOS,201020
76,APA,101020
77,APC,101020
78,APD,151010
79,APH,452030
80,APOL,253020
81,APTV,251010
82,ARE,601010
83,ARG,151010
84,ASH,151010
85,ATGE,253020
86,ATI,151040
87,ATO,551020
88,ATVI,502020
89,AVB,601010
90,AVGO,453010
91,AVP,303020
92,AVY,151030
93,AWK,551040
94,AXP,402020
95,AYI,201040
96,AZO,255040
97,BA,201010
98,BAC,401010
99,BAX,351010
100,BBBY,255040
101,BBY,255040
102,BC,252020
103,BCR,351010
104,BDX,351010
105,BEN,402030
106,BF/B,302010
107,BHF,403010
108,BHI,101010
109,BIG,255030
110,BIIB,352010
111,BK,402030
112,BKNG,255020
113,BKR,101010
114,BLK,402030
115,BLL,151030
116,BMS,151030
117,BMY,352020
118,BR,451020
119,BRCM,453010
120,BRK/B,402010
121,BSX,351010
122,BTUUQ,101020
123,BWA,251010
124,BXLT,352010
125,BXP,601010
126,C,401010
127,CA,451030
128,CAG,302020
129,CAH,351020
130,CAM,101010
131,CAR,203040
