Ticker,Description
A,"
				Agilent Technologies, Inc. engages in the provision of application focused solutions for life sciences, diagnostics, and applied chemical markets. It operates through the following segments: Life Sciences and Applied Markets, Diagnostics and Genomics, and Agilent CrossLab. The Life Sciences and Applied Markets segment offers application-focused solutions that include instruments and software that enable to identify, quantify, and analyze the physical and biological properties of substances and products, as well as the clinical and life sciences research areas to interrogate samples at the molecular and cellular level. The Diagnostics and Genomics segment comprises activity providing active pharmaceutical ingredients for oligo-based therapeutics as well as solutions that include reagents, instruments, software, and consumables. The Agilent CrossLab segment includes startup, operational, training and compliance support, software as a service, and asset management and consultative services. The company was founded in May 1999 and is headquartered in Santa Clara, CA. . 
			"
AAT,"
				American Assets Trust, Inc. is a real estate investment trust. It owns, operates, acquires, and develops retail shopping centers; office properties; mixed-use properties; and multifamily properties. The company operates through the following business segments: Retail, Office, Multifamily and Mixed-Use. The Retail segment includes rental of retail space. The Office segment includes rental of office space. The Multifamily segment includes rental of apartments. The Mixed-Use segment includes rental of retail space and other tenant services. 
			"
AA,"
				Alcoa Corp. engages in the production of bauxite, alumina, and aluminum products. It operates through the following segments: Bauxite, Alumina, and Aluminum. The Bauxite segment represents the companyâ€™ global bauxite mining operations. The Alumina segment includes the companyâ€™s worldwide refining system, which processes bauxite into alumina. The Aluminum segment combines smelting and casting operations produce primary aluminum. The smelting operations produce molten primary aluminum, which is then formed by the casting operations into either foundry ingot or into value add ingot products, including billet, rod, and slab. The company was founded by Charles Martin Hall on July 9, 1886 and is headquartered in Pittsburgh, PA. 
			"
AAL,"
				American Airlines Group, Inc. is a holding company, which engages in the operation of a network carrier through its principal wholly-owned mainline operating subsidiary, American. The firm offers air transportation for passengers and cargo. It operates through the following geographical segments: Department of Transportation Domestic; Department of Transportation Latin America; Department of Transportation Atlantic; and Department of Transportation Pacific. The company was founded on December 9, 2013 and is headquartered in Fort Worth, TX.
			"
AAN,"
				Aaron's, Inc. retails consumer electronics, computers, residential furniture, household appliances, and accessories. It engages in the lease ownership, lease and retail sale of products such as widescreen and liquid crystal display televisions, computers, living room, dining room and bedroom furniture, washers, dryers, and refrigerators. The company operates through the following business segments: Progressive Leasing, Aaronâ€™s Business and Vive. The Progressive Leasing segment provides lease-purchase solutions on a variety of products, including furniture and appliance, jewelry, mobile phones and accessories, mattress, and automobile electronics and accessories. The Aaronâ€™s Business segment offers furniture, home appliances, consumer electronics and accessories to consumers with a lease-to-own agreement. The Vive segment offers a variety of second-look financing programs originated through third-party federally insured banks to customers of participating merchants and, together with Progressive Leasing, allows the Company to provide retail partners. The company was founded by R. 
			"
AAWW,"
				Atlas Air Worldwide Holdings, Inc. engages in the provision of outsourced aircraft and aviation operating services. It operates through the following segments: ACMI, Charter, and Dry Leasing. The ACMI segment offers aircraft, crew, maintenance and insurance services to customers. The Charter segment comprises planeload air cargo and passenger aircraft charters, including the U. S. Military Air Mobility Command (AMC), brokers, freight forwarders, direct shippers, airlines, sports teams and fans, and private charter customers. The Dry Leasing segment includes leasing of aircraft and engines. 
			"
AAPL,"
				Apple, Inc. engages in the design, manufacture, and sale of smartphones, personal computers, tablets, wearables and accessories, and other variety of related services. It operates through the following geographical segments: Americas, Europe, Greater China, Japan, and Rest of Asia Pacific. The Americas segment includes North and South America. The Europe segment consists of European countries, as well as India, the Middle East, and Africa. The Greater China segment comprises of China, Hong Kong, and Taiwan. The Rest of Asia Pacific segment includes Australia and Asian countries. Its products and services include iPhone, Mac, iPad, AirPods, Apple TV, Apple Watch, Beats products, Apple Care, iCloud, digital content stores, streaming, and licensing services. 
			"
AAON,"
				AAON, Inc. engages in the engineering, manufacturing, marketing and sale of air conditioning and heating equipment. It operates through the following segments: Units, Parts-External, Parts-Internal, and Other. Its products include air handling units, self contained units, packaged rooftop units, geothermal heat units, controls, and coils. The company was founded by Norman H. Asbjornson on August 18, 1987 and is headquartered in Tulsa, OK.
			"
AAOI,"
				Applied Optoelectronics, Inc. engages in the design and manufacture of optical communications products. Its products include optical devices, such as laser diodes, photodiodes, related modules and circuitry, and equipment for applications in fiber-to-the-home, cable television, point to point communications and wireless. The company was founded by Chih Hsiang Lin on February 28, 1997 and is headquartered in Sugar Land, TX.
			"
ABBV,"
				AbbVie, Inc. is a research-based biopharmaceutical company, which engages in the development and sale of pharmaceutical products. It focuses on treating conditions such as chronic autoimmune diseases in rheumatology, gastroenterology, and dermatology; oncology, including blood cancers; virology, including hepatitis C virus (HCV) and human immunodeficiency virus (HIV); neurological disorders, such as Parkinson's disease; metabolic diseases, comprising thyroid disease and complications associated with cystic fibrosis; pain associated with endometriosis; and other serious health conditions. The company was founded on October 19, 2011 and is headquartered in North Chicago, IL.
			"
AAP,"
				Advance Auto Parts, Inc. engages in the supply and distribution of aftermarket automotive products for both professional installers and do-it-yourself customers. It operates through the following segments: Northern Division, Southern Division, Carquest Canada, Independents and Worldpac. Advance Auto Parts offers replacement parts, performance parts, accessories, oil and fluids, engine parts, brakes, batteries, accessories, and tools and garage. The company was founded by Arthur Taubman in 1929 and is headquartered in Raleigh, NC.
			"
ABC,"
				AmerisourceBergen Corp. engages provision of pharmaceutical products and business solutions that improve access to care. It operates through the Pharmaceutical Distribution Services and Other segments. The Pharmaceutical Distribution Services segment distributes a comprehensive offering of brand-name, specialty brand-name & generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies & equipment, outsourced compounded sterile preparations, and related services to a wide variety of healthcare providers, including acute care hospitals and health systems, independent & chain retail pharmacies, mail order pharmacies, medical clinics, long-term care & alternate site pharmacies, and other customers. The Other segment focuses on global commercialization services and animal health and includes ABCS, World Courier, and MWI. The company was founded in 1947 and is headquartered in Chesterbrook, PA.
			"
ABCB,"
				Ameris Bancorp is a bank holding company, which through the subsidiary, Ameris Bank, engages in the provision of banking services to its retail and commercial customers. It operates through the following business segments: Banking, Retail Mortgage, Warehouse Lending, the SBA and Premium Finance. The Banking segment offers full service financial services to include commercial loans, consumer loans and deposit accounts. The Retail Mortgage segment includes origination, sales, and servicing of one-to-four family residential mortgage loans. The Warehouse Lending segment includes the origination and servicing of warehouse lines to other businesses that are secured by underlying one-to-four family residential mortgage loans. The SBA segment comprises of origination, sales, and servicing of small business administration loans. The Premium Finance segment comprises origination and servicing of commercial insurance premium finance loans. The company was founded on December 18, 1980 and is headquartered in Moultrie, GA. 
			"
AAXN,"
				Axon Enterprise, Inc. engages in the development, manufacturing, and sale of conducted electrical weapons for personal defense. It operates through the TASER Weapons and Software and Sensors segments. The TASER Weapons segment sells conducted electrical weapons, accessories, and other related products and services. The Software and Sensors segment includes devices, wearables, applications, cloud and mobile products. The company was founded by Patrick W. Smith and Thomas P. Smith on September 7, 1993 and is headquartered in Scottsdale, AZ. 
			"
ABEO,"
				Abeona Therapeutics, Inc. is a clinical stage biopharmaceutical company, which engages in the development of gene therapy for severe and life threatening rare diseases. It programs include EB-101 (gene-corrected skin grafts) for recessive dystrophic epidermolysis bullosa (RDEB); ABO-102 (AAV-SGSH), an adeno-associated virus (AAV) based gene therapy for Sanfilippo syndrome type A (MPS IIIA) and ABO-101 (AAV NAGLU), an AAV based gene therapy for Sanfilippo syndrome type B (MPS IIIB). The company was founded in 1974 and is headquartered in New York, NY.
			"
ABG,"
				Asbury Automotive Group, Inc. operates as a holding company, which engages in the automotive dealership. Its services include oil change, car brakes, changing tires, check engine light, battery, and wheel alignment. The company was founded in 1995 and is headquartered in Duluth, GA.
			"
ABMD,"
				ABIOMED, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It distributes its products under the Impella brand. The company was founded by David M. Lederman in 1981 and is headquartered in Danvers, MA.
			"
AC,"
				Associated Capital Group, Inc. provides alternative investment management, institutional research and underwriting services. The company was founded by Mario Gabelli in 1976 and is headquartered in Rye, NY.
			"
ABM,"
				ABM Industries, Inc. engages in the provision of facility services for commercial, industrial, and institutional buildings. It operates through the following segments: Business & Industry, Aviation, Technology & Manufacturing, Education, and Technical Solutions. The Business & Industry segment encompasses janitorial, facilities engineering, and parking services for commercial real estate properties and sports and entertainment venues. It also provides vehicle maintenance services to rental car providers. The Aviation segment supports airlines and airports with parking and janitorial to passenger assistance, catering logistics, air cabin maintenance, and transportation. The Technology & Manufacturing segment provides janitorial, facilities engineering, and parking services. The Education segment delivers janitorial, custodial, landscaping & grounds, facilities engineering and parking services for public school districts, private schools, colleges and universities. 
			"
ABR,"
				Arbor Realty Trust, Inc. operates as real estate investment trust, which engages in the provision of loan origination and servicing for multifamily, seniors housing, healthcare, and diverse commercial real estate assets. It operates through the Structured Business and Agency Business segments. The Structured Business segment offers structured loan origination and investment services. The Agency Business segment involves in agency loan origination and servicing. The company was founded in June 2003 and is headquartered in Uniondale, NY.
			"
ABT,"
				Abbott Laboratories engages in the discovery, development, manufacture, and sale of a broad and diversified line of health care products. It operates through the following segments: Established Pharmaceutical Products, Nutritional Products, Diagnostic Products, Cardiovascular and Neuromodulation Products, and Other. The Established Pharmaceutical Products segment refers to the international sales of a line of branded generic pharmaceutical products. The Nutritional Products segment caters to the worldwide sales of adult and pediatric nutritional products. The Diagnostic Products segment markets diagnostic systems and tests for blood banks, hospitals, commercial laboratories, and alternate-care testing sites. The Vascular Products segment trades coronary, endovascular, structural heart, vessel closure, and other medical device products. The Other segment comprises of Abbott Medical Optics. The company was founded by Wallace Calvin Abbott in 1888 and is headquartered in Abbott Park, IL. 
			"
ABTX,"
				Allegiance Bancshares, Inc. operates as a bank holding company. It engages in the provision of commercial banking services primarily to Houston metropolitan area-based small to medium-sized businesses and individual customers. The company was founded by George Martinez and Steven F. Retzloff in 2007 and is headquartered in Houston, TX.
			"
ACAD,"
				ACADIA Pharmaceuticals, Inc. operates as a biopharmaceutical company focused on the development and commercialization of medicines to address unmet medical needs in central nervous system, or CNS, disorders. The firms product include Nuplazid, which is used for the treatment of hallucinations and delusions associated with Parkinson's disease psychosis. The company was founded by Mark R. Brann on July 16, 1993 and is headquartered in San Diego, CA.
			"
