Ticker,Description
ABT,"
				Abbott Laboratories engages in the discovery, development, manufacture, and sale of a broad and diversified line of health care products. It operates through the following segments: Established Pharmaceutical Products, Nutritional Products, Diagnostic Products, Cardiovascular and Neuromodulation Products, and Other. The Established Pharmaceutical Products segment refers to the international sales of a line of branded generic pharmaceutical products. The Nutritional Products segment caters to the worldwide sales of adult and pediatric nutritional products. The Diagnostic Products segment markets diagnostic systems and tests for blood banks, hospitals, commercial laboratories, and alternate-care testing sites. The Vascular Products segment trades coronary, endovascular, structural heart, vessel closure, and other medical device products. The Other segment comprises of Abbott Medical Optics. The company was founded by Wallace Calvin Abbott in 1888 and is headquartered in Abbott Park, IL. 
			"
ACN,"
				Accenture Plc engages in the provision of management consulting, technology, and outsourcing services. It operates through the following segments: Communications, Media, and Technology; Financial Services; Health and Public Service; Products; Resources; and Other. The Communications, Media, and Technology segment serves communications, media, high-tech, and software and platform companies through acceleration and delivery of digital transformation, development of comprehensive and industry-specific solutions, and enhance efficiency and business results. The companyâ€™s services include helping clients capture new growth by shifting to data-driven and platform-based models, optimizing their cost structures, increasing product and business model innovation, and differentiating and scaling digital experiences for their customers. The Financial Services segment serves the banking, capital markets, and insurance industries by addressing growth, cost and profitability pressures, industry consolidation, regulatory changes and the need to continually adapt to new digital technologies. The Health and Public Service segment serves healthcare payers and providers, as well as government departments and agencies, public service organizations, educational institutions, and non-profit organizations through provision of insights and offerings, including consulting services and digital solutions. The Products segment serves the following: Consumer Goods, Retail, and Travel Services group; Industrial group; and Life Sciences. The company helps clients enhance their performance in distribution and sales and marketing; in research and development and manufacturing; and in business functions such as finance, human resources, procurement and supply chain while leveraging technology. 
			"
ABBV,"
				AbbVie, Inc. is a research-based biopharmaceutical company, which engages in the development and sale of pharmaceutical products. It focuses on treating conditions such as chronic autoimmune diseases in rheumatology, gastroenterology, and dermatology; oncology, including blood cancers; virology, including hepatitis C virus (HCV) and human immunodeficiency virus (HIV); neurological disorders, such as Parkinson's disease; metabolic diseases, comprising thyroid disease and complications associated with cystic fibrosis; pain associated with endometriosis; and other serious health conditions. The company was founded on October 19, 2011 and is headquartered in North Chicago, IL.
			"
ABMD,"
				ABIOMED, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It distributes its products under the Impella brand. The company was founded by David M. Lederman in 1981 and is headquartered in Danvers, MA.
			"
MMM,"
				3M Co. is a technology company, which manufactures industrial, safety and consumer products. It operates through the following segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment consists of personal safety, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules. The Transportation and Electronics segment consists of electronics, automotive and aerospace, commercial solutions, advanced materials, and transportation safety. The Health Care segment includes medical and surgical supplies, skin health and infection prevention products, oral care solutions, separation and purification sciences, health information systems, inhalation and transdermal drug delivery systems, and food safety products. The Electronics & Energy segment involves in the optical films solutions for electronic displays, packaging and interconnection devices; insulating and splicing solutions; touch screens and touch monitors; renewable energy component solutions; and infrastructure protection products. The Consumer segment products includes office supply products, stationery products, home improvement products, home care products, protective material products, certain consumer retail personal safety products, and consumer health care products. 
			"
Ticker,Description
MMM,"
				3M Co. is a technology company, which manufactures industrial, safety and consumer products. It operates through the following segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment consists of personal safety, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules. The Transportation and Electronics segment consists of electronics, automotive and aerospace, commercial solutions, advanced materials, and transportation safety. The Health Care segment includes medical and surgical supplies, skin health and infection prevention products, oral care solutions, separation and purification sciences, health information systems, inhalation and transdermal drug delivery systems, and food safety products. The Electronics & Energy segment involves in the optical films solutions for electronic displays, packaging and interconnection devices; insulating and splicing solutions; touch screens and touch monitors; renewable energy component solutions; and infrastructure protection products. The Consumer segment products includes office supply products, stationery products, home improvement products, home care products, protective material products, certain consumer retail personal safety products, and consumer health care products. 
			"
ABBV,"
				AbbVie, Inc. is a research-based biopharmaceutical company, which engages in the development and sale of pharmaceutical products. It focuses on treating conditions such as chronic autoimmune diseases in rheumatology, gastroenterology, and dermatology; oncology, including blood cancers; virology, including hepatitis C virus (HCV) and human immunodeficiency virus (HIV); neurological disorders, such as Parkinson's disease; metabolic diseases, comprising thyroid disease and complications associated with cystic fibrosis; pain associated with endometriosis; and other serious health conditions. The company was founded on October 19, 2011 and is headquartered in North Chicago, IL.
			"
ABT,"
				Abbott Laboratories engages in the discovery, development, manufacture, and sale of a broad and diversified line of health care products. It operates through the following segments: Established Pharmaceutical Products, Nutritional Products, Diagnostic Products, Cardiovascular and Neuromodulation Products, and Other. The Established Pharmaceutical Products segment refers to the international sales of a line of branded generic pharmaceutical products. The Nutritional Products segment caters to the worldwide sales of adult and pediatric nutritional products. The Diagnostic Products segment markets diagnostic systems and tests for blood banks, hospitals, commercial laboratories, and alternate-care testing sites. The Vascular Products segment trades coronary, endovascular, structural heart, vessel closure, and other medical device products. The Other segment comprises of Abbott Medical Optics. The company was founded by Wallace Calvin Abbott in 1888 and is headquartered in Abbott Park, IL. 
			"
