Ticker,Description
AMD,"
										Advanced Micro Devices designs and produces microprocessors for the computer and consumer electronics industries. The majority of the firm's sales are in the computer market via CPUs and GPUs. AMD acquired graphics processor and chipset maker ATI in 2006 in an effort to improve its positioning in the PC food chain. In 2009, the firm spun out its manufacturing operations to form a foundry joint venture, GlobalFoundries.
									"
ADBE,"
										Adobe provides content creation, document management, and digital marketing and advertising software and services to creative professionals and marketers for creating, managing, delivering, measuring, optimizing and engaging with compelling content multiple operating systems, devices and media. The company operates with three segments: digital media content creation, digital experience for marketing solutions, and publishing for legacy products (less than 5% of revenue).
									"
ABMD,"
										Abiomed Inc provides temporary mechanical circulatory support devices that are primarily used by interventional cardiologists and heart surgeons. The firm's products are used for patients in need of hemodynamic support before, during, or after angioplasty and heart surgery procedures. Abiomed receives the majority of revenue from its Impella product portfolio, which includes percutaneous micro heart pumps with integration motors and sensors and percutaneous catheter-based axial flow pumps. Abiomed generates the majority of its revenue in the United States.
									"
ATVI,"
										Activision Blizzard was formed in 2008 by the merger of Activision, one of the largest console video game publishers, and Blizzard, one of largest PC video game publishers. The combined firm remains one of the world's largest video game publishers. Activision's impressive franchise portfolio includes World of Warcraft, which boasts more than $8 billion of lifetime sales, and Call of Duty, which has sold over 175 million copies across 14 titles over 12 years.
									"
ALXN,"
										Alexion Pharmaceuticals Inc specializes in developing and marketing drugs for rare, life-threatening medical conditions. Its blockbuster product, Soliris, is approved for paroxysmal nocturnal hemoglobinuria (PNH), atypical hemolytic uremic syndrome (aHUS), generalized myasthenia gravis (gMG), and neuromyelitis optica spectrum disorder (NMOSD). Next-generation Ultomiris is approved in PNH and aHUS. Strensiq and Kanuma target other ultrarare metabolic diseases. Alexion's pipeline targets rare diseases with high unmet need in hematology, nephrology, metabolic diseases, neurology, cardiology, and other areas.
									"
AKAM,"
										Akamai operates a content delivery network, or CDN, which entails locating servers at the edges of networks so its customers, which store content on Akamai servers, can reach their own customers faster, more securely, and with better quality. Akamai has over 200,000 servers distributed over thousands of points of presence within over 1,700 networks across 130 countries. Its customers generally include media companies, which stream video content or make video games available for download, and other enterprises that run interactive or high-traffic websites, such as e-commerce firms and financial institutions. Akamai also has a significant security business, which is integrated with its core web and media businesses to protect its customers from cyber threats.
									"
ABT,"
										Abbott manufactures and markets medical devices, adult and pediatric nutritional products, diagnostic equipment and testing kits, and branded generic drugs. Products include pacemakers, implantable cardioverter defibrillators, neuromodulation devices, coronary stents, catheters, infant formula, nutritional liquids for adults, and immunoassays and point-of-care diagnostic equipment. Abbott derives approximately 60% of sales outside the United States.
									"
ALGN,"
										Align Technology is a medical (dental) device company primarily known for the Invisalign system, which is an alternative to traditional braces to correct a wide range of malocclusions. The company also manufactures intraoral scanners and computer-aided design/computer-aided manufacture digital services to support the customization of these liners. Historically, only orthodontists serviced this product, but more recently the company has expanded its direct marketing efforts to include generalists (dentists) and consumers.
									"
MMM,"
										3M is a multinational conglomerate that has operated since 1902 when it was known as Minnesota Mining and Manufacturing. The company is well-known for its research and development laboratory, and the firm leverages its science and technology across multiple product categories. As of 2019, 3M is organized into four business segments: safety and industrial, transportation and electronics, healthcare, and consumer. About 60% of the company’s revenue comes from outside the United States, with the safety and industrial segment constituting most of the firm’s net sales. Many of the company’s 55,000-plus products touch and concern a variety of consumers and end markets.
									"
ABBV,"
										AbbVie is a drug company with a strong exposure to immunology and oncology. The company's top drug, Humira, represents over half of the company's current profits. The company was spun off from Abbott in early 2013. The recent announced acquisition of Allergan will add several new drugs in aesthetics and women's health.
									"
