Ticker,Description
ABT,"Abbott Laboratories is engaged in the discovery, development, manufacture and sale of a range of healthcare products. The Company operates through four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products and Vascular Products. Its Established Pharmaceutical Products include a range of branded generic pharmaceuticals manufactured around the world and marketed and sold outside the United States. Its Diagnostic Products include a range of diagnostic systems and tests. Its Nutritional Products include a range of pediatric and adult nutritional products. Its Company's Vascular Products include a range of coronary, endovascular, vessel closure and structural heart devices for the treatment of vascular disease. The Company, through St. Jude Medical, Inc., also offers products, such as rhythm management products, electrophysiology products, heart failure related products, vascular products, structural heart products and neuromodulation products."
MMM,"3M Co is a technology company. The Company operates through four segments: Safety and Industrial, Transportation and Electronics, Health Care and Consumer. Safety and Industrial segment consist of personal safety, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules. Transportation and Electronics segment consists of electronics, including display materials and systems, electronic materials solutions, automotive and aerospace, commercial solutions, advanced materials, and transportation safety. Health Care segment’s products and services include medical and surgical supplies, skin health and infection prevention products, oral care solutions, separation and purification sciences, health information systems and food safety products. Consumer segment serves consumers and consists of home improvement, stationery and office supplies, home care and consumer health care."
ACN,"Accenture plc is a professional services company. It provides management and technology consulting services. Its segments include Communications, Media and Technology; Financial Services; Health and Public Service; Products, and Resources. The Communications, Media & Technology segment serves communications, electronics, technology, media and entertainment industries. The Financial Services segment serves banking, capital markets and insurance industries. The Health & Public service segment serves healthcare payers and providers, and government departments and agencies, public service organizations, educational institutions and non-profit organizations. The Resources segment serves chemicals, energy, forest products, metals and mining, utilities and related industries. It offers digital advertising services. The Company also provides companies with a comprehensive offering across content creation production and distribution."
ABMD,
ABBV,
Ticker,Description
MMM,"3M Co is a technology company. The Company operates through four segments: Safety and Industrial, Transportation and Electronics, Health Care and Consumer. Safety and Industrial segment consist of personal safety, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules. Transportation and Electronics segment consists of electronics, including display materials and systems, electronic materials solutions, automotive and aerospace, commercial solutions, advanced materials, and transportation safety. Health Care segment’s products and services include medical and surgical supplies, skin health and infection prevention products, oral care solutions, separation and purification sciences, health information systems and food safety products. Consumer segment serves consumers and consists of home improvement, stationery and office supplies, home care and consumer health care."
ABT,"Abbott Laboratories is engaged in the discovery, development, manufacture and sale of a range of healthcare products. The Company operates through four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products and Vascular Products. Its Established Pharmaceutical Products include a range of branded generic pharmaceuticals manufactured around the world and marketed and sold outside the United States. Its Diagnostic Products include a range of diagnostic systems and tests. Its Nutritional Products include a range of pediatric and adult nutritional products. Its Company's Vascular Products include a range of coronary, endovascular, vessel closure and structural heart devices for the treatment of vascular disease. The Company, through St. Jude Medical, Inc., also offers products, such as rhythm management products, electrophysiology products, heart failure related products, vascular products, structural heart products and neuromodulation products."
ACN,"Accenture plc is a professional services company. It provides management and technology consulting services. Its segments include Communications, Media and Technology; Financial Services; Health and Public Service; Products, and Resources. The Communications, Media & Technology segment serves communications, electronics, technology, media and entertainment industries. The Financial Services segment serves banking, capital markets and insurance industries. The Health & Public service segment serves healthcare payers and providers, and government departments and agencies, public service organizations, educational institutions and non-profit organizations. The Resources segment serves chemicals, energy, forest products, metals and mining, utilities and related industries. It offers digital advertising services. The Company also provides companies with a comprehensive offering across content creation production and distribution."
ABMD.OQ,"ABIOMED, Inc. is a provider of temporary percutaneous mechanical circulatory support devices. The Company offers care to heart failure patients. The Company operates in the segment of the research, development and sale of medical devices to assist or replace the pumping function of the failing heart. The Company develops, manufactures and markets products that are designed to enable the heart to rest, heal and recover by improving blood flow to the coronary arteries and end-organs and/or temporarily performing the pumping function of the heart. The Company's product portfolio includes the Impella 2.5, Impella CP, Impella RP, Impella LD, Impella 5.0 and AB5000. The Company's products are used in the cardiac catheterization lab (cath lab), by interventional cardiologists, the electrophysiology lab, the hybrid lab and in the heart surgery suite by heart surgeons."
Ticker,Description
MMM,"3M Co is a technology company. The Company operates through four segments: Safety and Industrial, Transportation and Electronics, Health Care and Consumer. Safety and Industrial segment consist of personal safety, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules. Transportation and Electronics segment consists of electronics, including display materials and systems, electronic materials solutions, automotive and aerospace, commercial solutions, advanced materials, and transportation safety. Health Care segment’s products and services include medical and surgical supplies, skin health and infection prevention products, oral care solutions, separation and purification sciences, health information systems and food safety products. Consumer segment serves consumers and consists of home improvement, stationery and office supplies, home care and consumer health care."
ABT,"Abbott Laboratories is engaged in the discovery, development, manufacture and sale of a range of healthcare products. The Company operates through four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products and Vascular Products. Its Established Pharmaceutical Products include a range of branded generic pharmaceuticals manufactured around the world and marketed and sold outside the United States. Its Diagnostic Products include a range of diagnostic systems and tests. Its Nutritional Products include a range of pediatric and adult nutritional products. Its Company's Vascular Products include a range of coronary, endovascular, vessel closure and structural heart devices for the treatment of vascular disease. The Company, through St. Jude Medical, Inc., also offers products, such as rhythm management products, electrophysiology products, heart failure related products, vascular products, structural heart products and neuromodulation products."
AAP,"Advance Auto Parts, Inc. provides automotive aftermarket parts in North America, serving do-it-for-me (Professional) and do-it-yourself (DIY), customers. The Company's stores and branches offer a selection of brand name, original equipment manufacturer (OEM) and private label automotive replacement parts, accessories, batteries and maintenance items for domestic and imported cars, vans, sport utility vehicles and light and heavy duty trucks. It serves through various channels ranging from traditional brick and mortar store locations to self-serving e-commerce sites. As of December 31, 2016, it operated 5,062 total stores and 127 branches primarily under the trade names Advance Auto Parts, Autopart International, Carquest and Worldpac. As of December 31, 2016, its Advance Auto Parts operations consisted of three geographic divisions, which included the operations of the stores operating under the Advance Auto Parts, Carquest and Autopart International trade names."
ACN,"Accenture plc is a professional services company. It provides management and technology consulting services. Its segments include Communications, Media and Technology; Financial Services; Health and Public Service; Products, and Resources. The Communications, Media & Technology segment serves communications, electronics, technology, media and entertainment industries. The Financial Services segment serves banking, capital markets and insurance industries. The Health & Public service segment serves healthcare payers and providers, and government departments and agencies, public service organizations, educational institutions and non-profit organizations. The Resources segment serves chemicals, energy, forest products, metals and mining, utilities and related industries. It offers digital advertising services. The Company also provides companies with a comprehensive offering across content creation production and distribution."
AES,"The AES Corporation is a holding company. The Company, through its subsidiaries, operates a diversified portfolio of electricity generation and distribution businesses. The Company is organized into four market-oriented strategic business units (SBUs): US and Utilities (United States, Puerto Rico and El Salvador); South America (Chile, Colombia, Argentina and Brazil); MCAC (Mexico, Central America and the Caribbean), and Eurasia (Europe and Asia). It has two lines of business: generation and utilities. The generation business owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries. The Company's utilities business owns and/or operates utilities to generate or purchase, distribute, transmit and sell electricity to customers in the residential, commercial, industrial and governmental sectors within a defined service area. "
ARE,"Alexandria Real Estate Equities, Inc. is a real estate investment (REIT). The Company is engaged in the business of providing space for lease to the life science and technology industries. It focuses on collaborative life science and technology campuses. It develops urban cluster campuses and ecosystems. As of December 31, 2016, the Company had 199 properties in North America. As of December 31, 2016, its asset base in North America consisted of 25.2 million square feet, including 19.9 million rentable square feet/foot (RSF) of operating properties, and development and redevelopment of under construction or pre-construction, as well as 5.3 million square feet of future ground-up development projects. Its properties are located in various areas, including Greater Boston, San Francisco, New York City, San Diego, Seattle, Maryland and Research Triangle Park. Its properties include Alexandria Technology Square, Alexandria Park at 128 and Alexandria Technology Center-Gateway."
ALB,"Albemarle Corporation is a global developer, manufacturer and marketer of highly-engineered specialty chemicals. The Company operates through three segments: Lithium and Advanced Materials, Bromine Specialties and Refining Solutions. Lithium and Advanced Materials segment consist of two product categories: Lithium and Performance Catalyst Solutions. The bromine and bromine-based business includes products used in fire safety solutions and other specialty chemicals applications. The Company serves various end markets, including petroleum refining, consumer electronics, energy storage, construction, automotive, lubricants, pharmaceuticals, crop protection, food safety and custom chemistry services. As of December 31, 2016, the Company and its joint ventures operated 31 production and research and development (R&D) facilities, as well as a number of administrative and sales offices, around the world."
A,"Agilent Technologies, Inc. provides application focused solutions that include instruments, software, services and consumables for the entire laboratory workflow. The Company serves the life sciences, diagnostics and applied chemical markets. It has three business segments: life sciences and applied markets business, diagnostics and genomics business, and Agilent CrossLab business. Its life sciences and applied markets business segment offers instruments and software that enable customers to identify, quantify and analyze the physical and biological properties of substances and products, as well as enable customers in the clinical and life sciences research areas to interrogate samples at the molecular level. Its diagnostics and genomics business segment includes the reagent partnership, pathology, companion diagnostics, genomics and the nucleic acid solutions businesses. Its Agilent CrossLab business segment spans the entire lab with its consumables and services portfolio."
AFL,"Aflac Incorporated is a business holding company. The Company is involved in supplemental health and life insurance, which is marketed and administered through its subsidiary, American Family Life Assurance Company of Columbus (Aflac). The Company's insurance business consists of two segments: Aflac Japan and Aflac U.S. The Company designs the United States insurance products to provide supplemental coverage for people having medical or primary insurance coverage. Aflac U.S. offers accident coverage on both an individual and group basis. The Company offers cancer plans, critical illness plans, and critical care and recovery plans. The Company designs the United States insurance products to provide supplemental coverage for people having medical or primary insurance coverage. Aflac U.S. offers accident coverage on both an individual and group basis. The Company offers cancer plans, critical illness plans, and critical care and recovery plans."
APD,"Air Products and Chemicals, Inc., is an industrial gases company. The Company's Industrial Gases business provides atmospheric and process gases and related equipment to manufacturing markets, including refining and petrochemical, metals, electronics, and food and beverage. The Company is also a supplier of liquefied natural gas process technology and equipment. The Company operates through five segments: Industrial Gases-Americas, Industrial Gases-Europe, Middle East, and Africa (EMEA), Industrial Gases-Asia, Industrial Gases-Global, and Corporate and other."
