Ticker,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
ATVI,59.48,58.47,56.96,57.72,52.87,54.43,56.47,52.05,54.13,55.59,56.16,52.76,59.04,54.56,59.33,60.71,57.35,59.97,61.52,62.55,58.75,60.59,58.13,58.33,59.37,59.51,62.31,63.38,64.00,64.37,63.74,63.52,62.59,62.80,61.19,61.63,61.53,60.26,58.85,59.21,58.21,58.48,60.89,60.40,60.03,58.32,59.40,60.13,60.32,61.42,61.24,60.43,59.64,60.05,59.24,58.95,59.34,59.88,60.34,59.74,58.67,58.65
ABBV,76.19,75.24,72.67,73.83,67.91,67.49,64.50,68.82,71.06,71.03,73.02,74.27,85.37,78.61,84.85,87.53,85.27,88.82,90.61,91.75,87.57,88.69,85.71,85.42,88.41,89.18,93.14,94.96,94.23,94.14,93.61,94.05,95.35,97.79,96.00,94.75,92.29,87.18,86.63,84.36,82.30,81.02,81.78,83.20,83.77,84.02,83.54,85.27,87.21,87.99,88.00,89.26,89.26,88.20,88.52,89.06,90.21,89.52,88.89,89.40,88.70,89.55
ABT,78.91,79.34,74.56,75.81,70.75,69.69,62.82,68.00,74.50,79.26,79.49,73.66,81.65,74.74,78.09,80.88,77.02,81.74,80.52,82.09,77.99,81.61,77.03,79.19,81.36,81.13,84.63,87.45,88.46,89.36,88.88,89.66,88.68,88.79,89.17,88.30,87.87,89.47,89.56,88.23,87.06,87.14,89.16,89.14,89.54,89.59,90.40,90.73,91.86,89.73,89.00,88.28,87.38,85.74,85.12,85.36,86.44,86.21,85.86,86.34,85.89,86.95
ABMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,45.48,47.86,46.58,47.50,44.63,46.22,41.64,39.61,39.82,39.12,41.88,38.71,43.90,39.01,45.70,45.38,43.27,48.59,48.11,50.11,46.75,47.46,45.48,44.01,47.49,47.57,49.12,53.28,57.27,58.90,56.89,55.31,54.53,53.89,53.80,52.26,49.73,49.32,49.84,49.45,48.02,47.00,48.78,47.51,50.53,49.26,50.35,51.71,51.43,51.05,50.93,49.77,48.55,48.21,48.75,48.17,48.97,47.83,48.25,48.39,48.60,49.10
ACN,163.26,169.82,162.88,171.34,151.82,156.85,143.69,149.94,158.50,151.15,157.71,152.54,166.51,152.53,165.11,174.56,164.11,178.75,182.56,188.86,182.22,189.55,180.59,186.44,195.67,197.10,204.36,211.89,213.90,215.92,213.76,212.37,212.40,211.99,212.14,212.55,211.58,214.16,212.22,212.53,207.80,205.21,208.37,207.96,210.24,206.55,208.57,210.68,209.41,209.15,209.20,208.98,207.26,207.73,209.59,207.66,206.15,204.33,203.93,208.43,209.80,210.15
ADBE,318.24,318.39,305.83,322.67,305.91,310.00,307.27,295.34,307.51,294.61,311.81,286.03,335.50,285.00,315.23,332.38,305.79,336.77,351.03,363.85,348.34,360.28,345.12,337.52,351.34,347.80,357.41,372.95,378.96,383.28,378.85,379.67,374.84,374.29,369.28,370.00,366.09,367.46,365.55,366.74,358.00,351.14,356.74,351.66,354.63,346.90,351.37,351.76,350.06,350.00,349.74,345.38,342.94,344.63,345.63,339.81,340.45,337.87,333.39,333.71,331.81,334.43
MMM,136.51,137.74,133.24,136.18,131.54,132.72,117.87,124.89,137.51,137.02,134.44,130.91,141.68,133.58,147.24,153.30,144.06,153.65,151.41,153.98,145.24,153.02,149.24,150.16,148.96,146.85,152.55,156.93,158.56,159.34,158.88,161.01,159.76,163.80,162.45,160.15,160.08,162.89,162.33,157.24,156.59,158.66,162.51,162.00,165.58,175.63,178.15,177.74,178.03,179.39,181.35,181.01,179.78,181.37,180.92,180.47,181.20,180.63,177.90,178.62,178.45,180.00
AAP,93.32,96.50,95.60,97.12,90.37,86.38,78.50,75.03,85.97,88.74,100.25,95.25,113.69,109.17,125.62,135.20,130.36,127.91,126.92,132.90,130.33,132.99,132.98,134.13,134.54,137.60,139.91,140.61,142.48,140.12,141.81,133.59,134.67,134.32,132.11,130.68,132.93,134.37,137.02,131.56,132.65,131.75,135.27,138.55,138.58,139.06,141.68,149.73,147.65,149.00,151.05,151.94,150.21,148.90,145.26,149.01,152.87,153.16,154.94,156.80,159.42,159.41
A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFL,34.24,36.26,35.40,35.77,36.73,29.11,25.69,26.73,26.90,25.27,30.15,28.99,34.69,31.42,36.94,39.22,37.59,40.78,41.58,44.55,43.33,45.29,42.85,44.40,46.55,47.70,49.23,51.53,51.49,51.55,51.88,52.81,52.46,52.40,52.94,52.74,52.93,52.74,53.28,52.17,52.01,51.57,53.04,52.38,52.37,51.83,52.39,52.56,52.53,52.84,53.42,52.79,52.30,52.20,52.50,52.07,52.50,52.49,52.33,52.83,52.98,53.35
AKAM,91.49,94.19,90.61,94.38,89.35,89.98,85.54,82.37,88.85,97.10,88.43,83.23,85.73,80.05,87.02,86.15,82.62,90.62,92.98,94.90,90.28,90.91,86.51,89.31,92.54,93.73,97.11,100.52,101.47,102.56,100.96,99.67,99.60,97.45,96.37,95.76,96.12,96.95,95.95,95.22,93.68,93.35,94.61,94.84,94.83,94.23,95.52,96.44,95.60,94.95,95.31,95.82,95.12,93.93,94.68,93.53,93.19,91.40,90.20,87.55,87.24,87.64
ALK,28.47,28.33,29.87,32.49,29.84,28.91,24.03,23.56,24.18,25.13,32.53,32.53,37.95,35.08,45.70,46.78,43.19,45.21,43.46,49.69,47.37,50.03,50.46,52.96,57.37,58.81,63.01,65.43,65.36,65.17,65.49,66.11,66.50,65.54,64.55,64.43,63.96,64.02,66.33,65.77,64.65,64.59,66.01,66.89,65.54,65.34,66.72,67.18,65.59,64.99,66.62,66.54,66.59,66.18,65.87,65.89,66.37,66.50,66.18,66.60,66.92,68.17
ALB,56.37,55.60,55.02,60.46,60.02,56.03,50.90,53.45,61.94,68.64,67.06,58.96,68.01,64.79,70.07,75.19,72.96,82.60,84.77,86.27,82.79,84.30,81.85,80.80,85.65,85.83,89.61,92.43,94.31,89.34,88.70,89.64,87.93,86.83,84.71,83.25,82.54,86.95,87.58,90.43,80.79,80.28,80.78,80.73,80.20,78.94,81.18,81.90,81.38,81.32,80.90,80.42,80.12,78.18,75.86,72.10,72.74,71.18,72.43,71.49,71.57,72.61
ARE,137.06,144.65,143.47,141.80,133.40,129.51,114.92,123.31,132.00,132.95,135.18,122.31,147.74,136.39,151.39,157.12,148.30,159.06,160.94,163.44,157.75,155.58,151.88,154.68,163.08,163.65,166.74,167.98,168.72,169.19,173.85,174.93,173.58,173.41,171.65,170.57,167.55,167.84,167.93,167.79,164.81,163.20,164.48,164.52,164.38,163.79,164.66,165.41,163.28,164.80,162.90,163.81,162.29,160.46,160.78,158.57,157.27,157.83,155.76,161.03,160.64,159.73
APD,199.61,206.53,193.17,201.34,191.15,194.42,176.73,189.15,191.04,201.57,205.10,180.35,206.36,187.73,207.80,214.58,205.15,229.71,234.00,237.20,227.36,230.65,219.61,224.09,235.52,235.49,245.53,254.97,255.40,255.82,255.74,256.01,254.88,254.10,252.41,251.71,249.92,251.06,250.28,247.09,243.01,238.71,241.41,237.27,236.45,233.47,243.95,237.29,238.04,237.18,237.00,235.77,235.46,234.52,236.86,232.00,233.50,228.09,226.86,225.90,226.00,231.14
ALGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMZN,"1,949.72","1,963.95","1,900.10","1,955.49","1,885.84","1,940.10","1,902.83","1,846.09","1,880.93","1,830.00","1,807.84","1,689.15","1,785.00","1,676.61","1,820.86","1,891.82","1,800.61","1,901.09","1,924.03","1,975.83","1,908.99","1,953.95","1,883.75","1,884.30","1,979.59","1,972.74","2,009.29","2,095.97","2,153.10","2,170.22","2,155.67","2,134.87","2,149.87","2,160.00","2,150.80","2,133.91","2,079.28","2,050.23","2,039.87","2,049.67","2,004.20","2,008.72","1,870.68","1,858.00","1,853.25","1,828.34","1,861.64","1,884.58","1,887.46","1,892.00","1,864.72","1,877.94","1,862.02","1,869.44","1,891.30","1,883.16","1,901.05","1,891.97","1,906.86","1,902.88","1,874.97","1,898.01"
LNT,48.29,50.57,47.75,47.90,44.18,43.86,39.99,40.70,45.03,48.97,52.37,47.56,50.90,48.18,51.59,54.00,54.16,57.49,57.39,57.86,54.77,55.36,52.12,54.95,57.83,58.01,58.84,59.14,59.57,59.47,60.17,59.74,59.38,58.66,58.39,58.42,58.33,58.53,58.56,58.66,59.52,59.36,59.42,59.08,59.15,58.83,58.93,58.46,57.75,57.36,57.16,56.78,56.26,55.62,55.58,55.07,54.53,53.92,53.80,53.75,53.80,53.63
ALL,91.73,94.64,88.46,89.50,83.00,77.92,73.23,73.87,74.69,75.55,87.94,84.98,92.77,83.80,92.77,99.26,95.61,107.14,108.46,114.51,109.20,112.67,105.25,109.92,115.73,117.31,120.54,123.62,123.46,124.26,124.30,125.57,124.89,123.78,125.10,123.95,124.43,123.89,124.67,119.95,119.05,118.54,119.88,118.36,117.54,116.58,118.28,118.15,117.65,117.80,117.55,116.15,114.26,113.80,114.48,113.45,113.78,112.50,112.19,113.16,112.83,112.82
GOOG,"1,162.81","1,146.82","1,110.71","1,161.75","1,102.49","1,134.46","1,056.62","1,072.32","1,115.29","1,096.80","1,119.80","1,084.33","1,219.73","1,114.91","1,215.41","1,280.39","1,215.56","1,298.41","1,319.04","1,386.52","1,341.39","1,389.11","1,339.33","1,318.09","1,393.18","1,388.45","1,421.59","1,485.11","1,518.15","1,526.69","1,519.67","1,520.74","1,514.66","1,518.27","1,508.79","1,508.68","1,479.23","1,476.23","1,448.23","1,447.07","1,485.94","1,434.23","1,455.84","1,458.63","1,452.56","1,433.90","1,466.71","1,486.65","1,485.95","1,484.40","1,480.39","1,451.70","1,439.20","1,430.88","1,439.23","1,429.73","1,419.83","1,404.32","1,393.34","1,394.21","1,360.66","1,367.37"
MO,38.67,37.31,36.64,36.64,34.37,32.38,31.38,34.28,37.10,38.32,39.85,38.22,40.07,36.42,40.48,42.15,40.34,42.15,43.16,43.93,41.90,42.07,40.37,40.30,42.12,42.49,43.80,45.89,45.56,45.14,45.22,45.17,45.65,45.40,45.57,46.20,46.22,46.66,46.28,46.52,46.26,47.53,48.00,50.11,50.17,49.77,50.25,50.56,51.03,51.09,51.02,51.09,51.25,50.87,50.76,50.22,50.57,50.08,49.57,49.83,49.63,49.25
AES,13.60,13.66,13.45,13.50,12.82,12.66,11.87,11.87,10.99,9.56,11.56,10.99,13.00,12.18,14.16,15.21,14.58,16.82,16.73,17.83,17.43,18.22,16.73,18.29,18.69,19.38,20.25,20.75,20.80,20.91,21.03,20.93,20.83,20.96,20.79,20.52,20.50,20.58,20.76,20.61,20.31,19.86,20.18,20.32,20.18,20.08,20.38,20.56,20.40,20.47,20.50,20.57,20.46,20.40,20.31,20.18,20.26,20.06,20.10,20.03,19.80,20.03
ALLE,92.02,95.01,91.62,96.78,89.45,84.92,78.60,82.84,94.16,96.68,102.60,97.71,111.81,103.39,114.78,118.39,115.00,119.80,122.65,124.35,119.34,120.86,114.99,118.18,123.66,124.00,126.95,128.58,129.85,131.16,134.36,138.90,136.83,138.57,137.89,136.38,134.04,132.41,133.28,135.25,132.18,129.32,130.66,130.82,129.44,127.67,128.00,129.80,129.45,127.14,128.05,128.51,125.32,124.72,124.65,123.43,122.87,122.65,122.13,123.61,123.84,125.39
AXP,85.61,90.27,88.73,93.29,90.17,84.05,68.96,74.12,77.07,73.75,86.58,85.87,99.60,83.53,95.38,103.30,98.29,108.24,110.94,115.70,108.01,113.87,109.93,112.81,118.50,120.90,128.19,134.90,136.58,136.93,135.60,135.87,134.46,133.24,132.63,132.24,131.82,133.25,133.60,131.85,131.00,129.87,133.22,131.68,132.45,130.64,135.11,131.37,131.49,130.53,131.52,130.55,129.82,128.80,128.54,127.28,127.81,125.54,123.41,124.06,124.60,125.85
AME,72.02,73.72,71.01,72.41,71.00,67.94,58.21,63.37,69.01,65.65,65.90,62.54,74.60,67.52,77.25,82.26,76.26,88.52,89.07,91.01,87.32,90.02,86.00,87.36,91.11,91.75,95.36,99.34,100.55,100.17,100.47,101.34,101.44,101.77,100.15,98.60,98.30,98.68,100.03,99.11,97.72,97.15,99.33,99.63,99.33,97.78,99.57,100.78,100.27,101.26,101.78,100.19,100.66,100.84,100.83,100.76,101.36,101.86,101.63,101.05,100.94,100.80
ALXN,89.79,87.26,84.01,86.14,84.47,85.93,81.13,80.35,83.50,82.50,82.36,75.56,80.44,76.71,83.77,88.84,86.42,91.98,94.18,97.22,93.72,96.16,94.03,92.09,94.78,96.14,99.02,103.14,102.54,103.21,102.16,102.56,103.42,105.19,102.46,101.01,100.56,104.04,103.65,102.94,100.85,99.39,100.30,106.94,106.97,105.30,105.27,108.55,111.40,113.01,113.27,112.51,112.53,112.79,113.92,109.48,110.74,108.58,106.85,106.58,106.41,107.84
ABC,88.50,88.10,81.78,84.16,75.35,79.85,73.93,80.61,86.00,84.97,89.50,80.50,90.00,80.49,84.96,86.07,83.27,85.81,86.97,90.38,85.87,87.16,84.32,86.59,93.71,92.93,94.93,97.00,96.53,95.13,94.31,94.36,94.52,95.78,94.57,93.60,91.94,92.48,91.44,88.09,85.70,85.56,88.88,89.86,89.11,87.52,88.92,91.16,92.03,91.25,91.06,91.46,91.37,88.83,86.15,87.04,86.66,85.45,84.63,85.24,84.01,85.08
