Ticker,mkt_cap,pb_ratio,beta,profit_margin,roa,roe
MMM,,,0.96,16.37%,9.93%,48.81%
AMD,,,2.29,7.96%,9.46%,23.40%
ABBV,,,0.79,19.20%,8.23%,225.62%
ADBE,,,0.91,30.71%,11.44%,35.55%
ACN,,,1.04,11.11%,12.93%,32.82%
ATVI,,,0.62,25.94%,7.12%,14.13%
ABMD,,,0.99,19.88%,11.76%,15.08%
ABT,,,0.98,9.89%,4.01%,9.86%
AAP,,,1.31,4.71%,3.77%,12.25%
AES,,,0.98,2.01%,3.88%,7.96%
Ticker,mkt_cap,pb_ratio,beta,profit_margin,roa,roe
MMM,,,0.96,16.37%,9.93%,48.81%
ACN,,,1.04,11.11%,12.93%,32.82%
ABT,,,0.98,9.89%,4.01%,9.86%
ABMD,,,0.99,19.88%,11.76%,15.08%
ADBE,,,0.91,30.71%,11.44%,35.55%
ATVI,,,0.62,25.94%,7.12%,14.13%
ABBV,,,0.79,19.20%,8.23%,225.62%
AMD,,,2.29,7.96%,9.46%,23.40%
AAP,,,1.31,4.71%,3.77%,12.25%
AES,,,0.98,2.01%,3.88%,7.96%
Ticker,mkt_cap,pb_ratio,beta,profit_margin,roa,roe
AMD,,,2.29,7.96%,9.46%,23.40%
MMM,,,0.96,16.37%,9.93%,48.81%
ABBV,,,0.79,19.20%,8.23%,225.62%
ACN,,,1.04,11.11%,12.93%,32.82%
ABMD,,,0.99,19.88%,11.76%,15.08%
ABT,,,0.98,9.89%,4.01%,9.86%
ATVI,,,0.62,25.94%,7.12%,14.13%
ADBE,,,0.91,30.71%,11.44%,35.55%
AES,,,0.98,2.01%,3.88%,7.96%
AAP,,,1.31,4.71%,3.77%,12.25%
A,,,1.13,13.23%,6.18%,14.21%
AKAM,,,0.34,17.82%,6.40%,14.85%
ALB,,,1.46,12.99%,4.53%,12.35%
AFL,,,0.86,13.49%,1.67%,10.16%
APD,,,0.93,21.58%,6.38%,16.58%
ALK,,,1.44,0.85%,-0.39%,1.46%
ARE,,,0.86,23.86%,1.59%,4.66%
ALXN,,,1.39,15.28%,10.27%,8.19%
ALGN,,,1.98,78.75%,5.27%,80.65%
ALLE,,,1.14,10.48%,12.00%,42.66%
GOOG,,,1.04,18.99%,7.78%,15.79%
LNT,,,0.40,18.09%,2.90%,12.06%
ALL,,,0.84,10.28%,3.15%,17.50%
MO,,,0.46,-4.50%,13.19%,-9.13%
GOOGL,,,,,,
AMZN,,,1.33,4.10%,4.65%,20.79%
AAL,,,1.64,-10.40%,-3.22%,N/A
AXP,,,1.08,11.89%,2.11%,18.45%
AIG,,,1.45,-9.45%,0.65%,-6.70%
AEP,,,0.39,12.54%,2.50%,9.54%
AMT,,,0.44,24.70%,4.66%,34.56%
AMCR,,,,,,
AWK,,,0.25,17.29%,3.43%,10.32%
AEE,,,,,,
AMP,,,,,,
ABC,,,0.60,0.84%,2.90%,44.59%
AMGN,,,0.93,30.04%,9.30%,68.05%
AME,,,1.24,18.52%,6.91%,17.50%
ADI,,,1.31,20.14%,4.30%,9.44%
APH,,,1.29,13.56%,8.66%,24.59%
ANTM,,,0.96,5.24%,6.56%,18.13%
ANSS,,,1.21,26.17%,6.76%,12.72%
AON,,,0.88,16.08%,5.73%,47.66%
AOS,,,1.25,10.72%,7.68%,17.62%
APA,,,4.65,-158.72%,-22.73%,-186.63%
AAPL,,,1.23,21.33%,13.12%,69.25%
AIV,,,0.84,20.07%,1.34%,10.42%
