,Symbol,Security,GICS Sector,GICS Sub Industry,CIK
0,MMM,3M Company,Industrials,Industrial Conglomerates,66740
1,ABT,Abbott Laboratories,Health Care,Health Care Equipment,1800
2,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,1551152
3,ABMD,ABIOMED Inc,Health Care,Health Care Equipment,815094
4,ACN,Accenture plc,Information Technology,IT Consulting & Other Services,1467373
5,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,718877
6,ADBE,Adobe Inc.,Information Technology,Application Software,796343
7,AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,2488
8,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,1158449
9,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,874761
10,AFL,AFLAC Inc,Financials,Life & Health Insurance,4977
11,A,Agilent Technologies Inc,Health Care,Health Care Equipment,1090872
12,APD,Air Products & Chemicals Inc,Materials,Industrial Gases,2969
13,AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,1086222
14,ALK,Alaska Air Group Inc,Industrials,Airlines,766421
15,ALB,Albemarle Corp,Materials,Specialty Chemicals,915913
16,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,1035443
17,ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,899866
18,ALGN,Align Technology,Health Care,Health Care Supplies,1097149
19,ALLE,Allegion,Industrials,Building Products,1579241
20,LNT,Alliant Energy Corp,Utilities,Electric Utilities,352541
21,ALL,Allstate Corp,Financials,Property & Casualty Insurance,899051
22,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,1652044
23,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,1652044
24,MO,Altria Group Inc,Consumer Staples,Tobacco,764180
25,AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,1018724
26,AMCR,Amcor plc,Materials,Paper Packaging,1748790
27,AEE,Ameren Corp,Utilities,Multi-Utilities,1002910
28,AAL,American Airlines Group,Industrials,Airlines,6201
29,AEP,American Electric Power,Utilities,Electric Utilities,4904
30,AXP,American Express Co,Financials,Consumer Finance,4962
31,AIG,American International Group,Financials,Property & Casualty Insurance,5272
